country_name,latitude,longitude,hc_cluster
Afghanistan,33.93911,67.709953,4
Albania,41.153332,20.168331,1
Algeria,28.033886,1.659626,1
American Samoa,-14.270972,-170.132217,3
Andorra,42.506285,1.521801,1
Angola,-11.202692,17.873887,0
Anguilla,18.220554,-63.068615,2
Antarctica,-82.862752,135.0,0
Antigua & Barbuda,17.060816,-61.796428,2
Argentina,-38.416097,-63.616672,2
Armenia,40.069099,45.038189,1
Aruba,12.52111,-69.968338,2
Australia,-25.274398,133.775136,3
Austria,47.516231,14.550072,1
Azerbaijan,40.143105,47.576927,1
Bahamas,25.03428,-77.39628,2
Bahrain,26.0667,50.5577,1
Bangladesh,23.684994,90.356331,4
Barbados,13.193887,-59.543198,2
Belarus,53.709807,27.953389,1
Belgium,50.503887,4.469936,1
Belize,17.189877,-88.49765,2
Benin,9.30769,2.315834,0
Bermuda,32.3078,-64.7505,2
Bhutan,27.514162,90.433601,4
Bolivia,-16.290154,-63.588653,2
Bosnia,43.915886,17.679076,1
Botswana,-22.328474,24.684866,0
Bouvet Island,-54.4207915,3.3464497,0
Brazil,-14.235004,-51.92528,2
British Indian Ocean Territory,-6.343194,71.876519,4
British Virgin Islands,18.420695,-64.639968,2
Brunei,4.535277,114.727669,4
Bulgaria,42.733883,25.48583,1
Burkina Faso,12.238333,-1.561593,0
Burundi,-3.373056,29.918886,0
Cambodia,12.565679,104.990963,4
Cameroon,7.369722,12.354722,0
Canada,56.130366,-106.346771,2
Cape Verde,16.5388,-23.0418,2
Caribbean Netherlands,12.1783611,-68.2385339,2
Cayman Islands,19.3133,-81.2546,2
Central African Republic,6.611111,20.939444,0
Chad,15.454166,18.732207,0
Chile,-35.675147,-71.542969,2
China,35.86166,104.195397,4
Christmas Island,-10.447525,105.690449,4
Cocos (Keeling) Islands,-12.164165,96.870956,4
Colombia,4.570868,-74.297333,2
Comoros,-11.6455,43.3333,0
Congo - Brazzaville,-0.228021,15.827659,0
Congo - Kinshasa,-4.038333,21.758664,0
Cook Islands,-21.236736,-159.777671,3
Costa Rica,9.748917,-83.753428,2
Croatia,45.1,15.2000001,1
Cuba,21.521757,-77.781167,2
Curacao,12.16957,-68.99002,2
Cyprus,35.126413,33.429859,1
Czech Republic,49.817492,15.472962,1
Cote dIvoire,7.539989,-5.54708,0
Denmark,56.26392,9.501785,1
Djibouti,11.825138,42.590275,0
Dominica,15.414999,-61.370976,2
Dominican Republic,18.735693,-70.162651,2
Ecuador,-1.831239,-78.183406,2
Egypt,26.820553,30.802498,1
El Salvador,13.794185,-88.89653,2
Equatorial Guinea,1.650801,10.267895,0
Eritrea,15.179384,39.782334,0
Estonia,58.595272,25.0136071,1
Ethiopia,9.145,40.489673,0
Falkland Islands,-51.796253,-59.523613,2
Faroe Islands,61.892635,-6.9118061,1
Fiji,-17.713371,178.065032,3
Finland,61.92411,25.7481511,1
France,46.227638,2.213749,1
French Guiana,3.933889,-53.125782,2
French Polynesia,-17.679742,-149.406843,3
French Southern Territories,-49.280366,69.3485571,0
Gabon,-0.803689,11.609444,0
Gambia,13.443182,-15.310139,0
Georgia,32.1656221,-82.9000751,2
Germany,51.165691,10.451526,1
Ghana,7.946527,-1.023194,0
Gibraltar,36.140751,-5.353585,1
Greece,39.074208,21.824312,1
Greenland,71.706936,-42.604303,1
Grenada,12.1165,-61.679,2
Guadeloupe,16.265,-61.551,2
Guam,13.444304,144.793731,4
Guatemala,15.783471,-90.230759,2
Guernsey,49.465691,-2.585278,1
Guinea,9.945587,-9.696645,0
Guinea-Bissau,11.803749,-15.180413,0
Guyana,4.860416,-58.93018,2
Haiti,18.971187,-72.285215,2
Heard & McDonald Islands,-53.08181,73.504158,0
Honduras,15.199999,-86.241905,2
Hong Kong,22.396428,114.109497,4
Hungary,47.162494,19.5033041,1
Iceland,64.963051,-19.020835,1
India,20.593684,78.96288,4
Indonesia,-0.789275,113.921327,4
Iran,32.427908,53.688046,1
Iraq,33.223191,43.679291,1
Ireland,53.1423672,-7.6920536,1
Isle of Man,54.236107,-4.548056,1
Israel,31.046051,34.851612,1
Italy,41.87194,12.56738,1
Jamaica,18.109581,-77.297508,2
Japan,36.204824,138.252924,4
Jersey,49.214439,-2.13125,1
Jordan,30.585164,36.238414,1
Kazakhstan,48.019573,66.923684,1
Kenya,-0.023559,37.906193,0
Kiribati,-3.370417,-168.734039,3
Kuwait,29.31166,47.481766,1
Kyrgyzstan,41.20438,74.766098,4
Laos,19.85627,102.495496,4
Latvia,56.879635,24.603189,1
Lebanon,33.854721,35.862285,1
Lesotho,-29.609988,28.233608,0
Liberia,6.428055,-9.429499,0
Libya,26.3351,17.228331,1
Liechtenstein,47.166,9.555373,1
Lithuania,55.169438,23.881275,1
Luxembourg,49.815273,6.129583,1
Macau,22.198745,113.543873,4
Macedonia,41.608635,21.745275,1
Madagascar,-18.766947,46.869107,0
Malawi,-13.254308,34.301525,0
Malaysia,4.210484,101.975766,4
Maldives,3.202778,73.22068,4
Mali,17.570692,-3.996166,0
Malta,35.937496,14.375416,1
Marshall Islands,7.131474,171.184478,3
Martinique,14.641528,-61.024174,2
Mauritania,21.00789,-10.940835,1
Mauritius,-20.348404,57.552152,0
Mayotte,-12.8275,45.166244,0
Mexico,23.634501,-102.552784,2
Micronesia,7.425554,150.550812,3
Moldova,47.411631,28.369885,1
